id,title,abstract,categories,authors,update_date
0801.0998,Dynamically sequestered F-term uplifting in extra dimension,"We study concretely several issues altogether, moduli stabilization, the dynamical supersymmetry (SUSY) breaking, the uplifting of SUSY anti-de Sitter (AdS) vacuum and the sequestering of hidden sector, in a simple supergravity model with a single extra dimension. The sequestering is achieved dynamically by a wavefunction localization in extra dimension. The expressions for the visible sector soft SUSY breaking terms as well as the hidden sector potential are shown explicitly in our model. We find that the tree-level soft scalar mass and the A-term can be suppressed at a SUSY breaking Minkowski minimum where the radius modulus is stabilized, while gaugino masses would be a mirage type.",hep-th hep-ph,"Hiroyuki Abe, Tetsutaro Higaki, Tatsuo Kobayashi, Yuji Omura",2014-11-18
0807.4576,Designing the unambiguous discriminator from the one -photon   interferometer,"In this paper, we shall show that the question of quanum state unambiguous discrimination can be solved by reducing it to the known problem of quantum states filtering.",quant-ph,"Xiaohua Wu, Yu Shaolan and Zhou Tao",2015-09-01
0807.0064,Optimal reference states for maximum accessible entanglement under the   local particle number superselection rule,"Global conservation laws imply superselection rules (SSR) which restrict the operations that are possible on any given state. Imposing the additional constraint of local operations and classical communication (LOCC) forbids the transfer of quantum systems between spatially separated sites. In the case of particle conservation this imposes a SSR for local particle number. That is, the coherences between subspaces of fixed particle number at each site are not accessible and any state is therefore equivalent to its projection onto these subspaces. The accessible entanglement under the SSR is less than (or equal to) that available in the absence of the SSR. An ancilla can be used as a reference system to increase the amount of accessible entanglement. We examine the relationship between local particle number uncertainty and the accessible entanglement and consider the optimal reference states for recovering entanglement from certain systems. In particular we derive the optimal ancilla state for extracting entanglement for a single shared particle and make steps towards the optimum for general systems.",quant-ph,"G. A. White, J. A. Vaccaro and H. M. Wiseman",2013-05-07
0805.2572,Triangulordinary Selmer Groups,"Let $p$ be a prime number, and let $K$ be a $p$-adic local field. We study a class of semistable $p$-adic Galois representations of $K$, which we call {\it triangulordinary} because it includes the ordinary ones yet allows non-\'etale behavior in the associated $(\phi,\Gamma_K)$-modules over the Robba ring. Our main result provides a description of the Bloch--Kato local condition of such representations. We also propose a program, using variational techniques, that would give a definition of the Selmer group along the eigencurve of Coleman--Mazur, including notably its nonordinary locus.",math.NT,Jonathan Pottharst,2008-05-19
0710.3583,"Off-center impurity in alkali halides: reorientation, electric   polarization and pairing to F center. IV. Reorientational rate","This last Part IV is aimed at deriving relaxation rates (times) of an off-center Li+ impurity. We follow Christov's reaction rate method to define general rate equations in terms of the exact Mathieu eigenvalues, as well as of harmonic-oscillator eigenvalues approximating for the energy spectrum near the bottom of the reorientational wells. To calculate the rate in each particular case, we derive configurational tunneling probabilities by either Mathieu eigenfunctions or by harmonic oscillator eigenfunctions. The electron-transfer probability is calculated by generalizing Landau-Zener's method. Typical examples are considered and compared with experimental relaxation times in KCl:Li+.",physics.chem-ph physics.comp-ph,"G. Baldacchini, R.M. Montereali, U.M. Grassano, A. Scacco, P. Petrova,
  M. Mladenova, M. Ivanovich and M. Georgiev",2007-10-19
0809.2975,Log-Poisson Hierarchical Clustering of Cosmic Neutral Hydrogen and   Ly-alpha Transmitted Flux of QSO Absorption Spectrum,"we study, in this paper, the non-Gaussian features of the mass density field of neutral hydrogen fluid and the Ly-alpha transmitted flux of QSO absorption spectrum from the point-of-view of self-similar log-Poisson hierarchy. It has been shown recently that, in the scale range from the onset of nonlinear evolution to dissipation, the velocity and mass density fields of cosmic baryon fluid are extremely well described by the She-Leveque's scaling formula, which is due to the log-Poisson hierarchical cascade. Since the mass density ratio between ionized hydrogen to total hydrogen is not uniform in space, the mass density field of neutral hydrogen component is not given by a similar mapping of total baryon fluid. Nevertheless, we show, with hydrodynamic simulation samples of the concordance $\Lambda$CDM universe, that the mass density field of neutral hydrogen, is also well described by the log-Poisson hierarchy. We then investigate the field of Ly$\alpha$ transmitted flux of QSO absorption spectrum. Due to redshift distortion, Ly$\alpha$ transmitted flux fluctuations are no longer to show all features of the log-Poisson hierarchy. However, some non-Gaussian features predicted by the log-Poisson hierarchy are not affected by the redshift distortion. We test these predictions with the high resolution and high S/N data of quasars Ly$\alpha$ absorption spectra. All results given by real data, including $\beta$-hierarchy, high order moments and scale-scale correlation, are found to be well consistent with the log-Poisson hierarchy. We compare the log-Poisson hierarchy with the popular log-normal model of the Ly$\alpha$ transmitted flux. The later is found to yield too strong non-Gaussianity at high orders, while the log-Poisson hierarchy is in agreement with observed data.",astro-ph,"Yi Lu, Yao-Quan Chu, and Li-Zhi Fang",2011-02-11
0812.3041,D0 - D0bar Mixing: An Overview,"Recently, the B factory experiments BABAR and Belle as well as the CDF collaboration found evidence for mixing in the D meson system. The current status (beginning of summer 2008) of the experimental results of D mixing is summarized.",hep-ex,Joerg Marks (for the BABAR Collaboration),2019-08-13
0801.0175,The Weil-Petersson metric geometry,A summary introduction of the Weil-Petersson metric space geometry is presented. Teichmueller space and its augmentation are described in terms of Fenchel-Nielsen coordinates. Formulas for the gradients and Hessians of geodesic-length functions are presented. Applications are considered. A description of the Weil-Petersson metric in Fenchel-Nielsen coordinates is presented. The Alexandrov tangent cone at points of the augmentation is described. A comparison dictionary is presented between the geometry of the space of flat tori and Teichmueller space with the Weil-Petersson metric.,math.DG,Scott A. Wolpert,2008-01-03
0811.3254,Covariant feedback Control of arbitrary qudit state against Depolarizing   Noise is impossible,"In this paper, we prove that it is impossible to construct a convariant quantum feedback control instruments which aim to correct the channel noise imposed on an unknown qubit. The proof is based on the searching for the optimal quantum control protocol and it turns out there exist no better %\textit{Complete Positive Trace %Preserving}(CPTP) maps complete positive and covariant quantum operations which provide a higher fidelity than the trivial Identity operators. The generalization of the investigation to bipartite entangled pure state is also included.",quant-ph,"ShengLi Zhang, XuBo Zou, Chuanfeng Li, ChenHui Jin, and GuangCan Guo",2008-11-21
0708.0509,Flat Energy histogram version for Interacting Growth Walk,Interacting Growth Walks is a recently proposed stochastic model for studying the coil-globule transition of linear polymers. We propose a flat energy histogram version for Interacting Growth Walk. We demonstrate the algorithm on two dimensional square and triangular lattices by calculating the density of energy states of Interacting Self Avoiding Walks.,cond-mat.stat-mech cond-mat.soft,"M. Ponmurugan, V. Sridhar, S. L. Narasimhan and K. P. N. Murthy",2007-08-06
0705.0616,Monitoring Air Moisture with Laser Absorption Spectroscopy,"Determination of air density and the quantitative estimates of water vapour adsorbed or desorbed by the surface of mass standard, remain the principals sources of uncertainties when weighing mass standard made from stainless steel or super alloy. The classical method, for air density determination, use the so called CIPM-1981/91 formula and the measured air parameters. An other approach is based only on the results of comparisons, realized successively in air and in vacuum, between special artefacts. The distribution and the state of water molecules inside the chamber of mass comparator influence the results of weighing. Also, the instruments used for air moisture measurement are either, not very sensitive (capacitive hygrometer) or disturbing for environment (dew-point hygrometer). To control that, a proposal method is given and observations of water vapour behaviour inside the enclosure for different conditions are reported. Keywords. mass metrology, air density, water vapour",physics.ins-det,"N.-E. Kh\'elifa (LNE- Inm), P. Pinot (LNE- Inm)",2007-05-23
0806.2966,Photon rockets in (anti-)de Sitter universe,"A class of exact solutions of Einstein's equations is presented which describes accelerating photon rockets in de Sitter and anti-de Sitter universe. These are particular members of the Robinson-Trautman family of axially symmetric spacetimes with pure radiation. In particular, generalizations of (type D) Kinnersley's rockets and (type II) Bonnor's rockets to the case of a non-vanishing cosmological constant are given. Some of the main physical properties of these solutions are investigated, and their relation to the C-metric solution which describes uniformly accelerated black holes is also given.",gr-qc,Jiri Podolsky,2008-11-26
0710.0544,Scalar-tensor analysis of an exponential Lagrangian for the   Gravitational Field,"Within the scheme of modified gravity, an exponential Lagrangian density will be considered, and the corresponding scalar-tensor description will be addressed for both positive and negative values of the cosmological constant. For negative values of the cosmological term, the potential of the scalar field exhibits a minimum, around which scalar-field equations can be linearized. The study of the deSitter regime shows that a comparison with the modified-gravity description is possible in an off-shell region, i.e., in a region where the classical equivalence between the two formulations is not fulfilled. Furthermore, despite the negative cosmological constant, an accelerating deSitter phase is predicted in the region where the series expansion of the exponential term does not hold. For positive values of the cosmological constant, the quantum regime is analyzed within the framework of Loop Quantum Cosmology.",gr-qc,"O.M. Lecian, G. Montani",2008-11-26
0805.0385,Fast partons as a source of energy and momentum in a perturbative   quark-gluon plasma,I derive the space-time distribution of energy and momentum deposited by a fast parton traversing a perturbative quark-gluon plasma by considering the fast parton as the source of an external color field interacting with the medium. I include the medium's response to screen the fast parton's color field by incorporating dielectric functions and compare to the unscreened result.,hep-ph nucl-th,R. B. Neufeld,2008-11-26
0705.0649,Broadening effects due to alloy scattering in Quantum Cascade Lasers,We report on calculations of broadening effects in QCL due to alloy scattering. The output of numerical calculations of alloy broadened Landau levels compare favorably with calculations performed at the self-consistent Born approximation. Results for Landau level width and optical absorption are presented. A disorder activated forbidden transition becomes significant in the vicinity of crossings of Landau levels which belong to different subbands. A study of the time dependent survival probability in the lowest Landau level of the excited subband is performed. It is shown that at resonance the population relaxation occurs in a subpicosecond scale.,cond-mat.other,"N. Regnault, R. Ferreira, G. Bastard",2009-11-13
0801.2873,Measurement-based approach to entanglement generation in coupled quantum   dots,"Measurements provide a novel mechanism for generating the entanglement resource necessary for performing scalable quantum computation. Recently, we proposed a method for performing parity measurements in a coupled quantum dot system. In this paper we generalise this scheme and perform a comprehensive analytic and numerical study of environmental factors. We calculate the effects of possible error sources including non-ideal photon detectors, ineffective spin-selective excitation and dot distinguishability (both spatial and spectral). Furthermore, we present an experimental approach for verifying the success of the parity measurement.",quant-ph,"Avinash Kolli, Simon C. Benjamin, Brendon W. Lovett, Thomas M. Stace",2009-11-13
0805.1356,Disorder-Induced Inhomogeneities of the Superconducting State Close to   the Superconductor-Insulator Transition,"Scanning tunneling spectroscopy at very low temperature on homogeneously disordered superconducting Titanium Nitride thin films reveals strong spatial inhomogeneities of the superconducting gap $\Delta$ in the density of states. Upon increasing disorder, we observe suppression of the superconducting critical temperature $T_c$ towards zero, enhancement of spatial fluctuations in $\Delta$, and growth of the $\Delta/T_c$ ratio. These findings suggest that local superconductivity survives across the disorder-driven superconductor-insulator transition.",cond-mat.mes-hall cond-mat.supr-con,"B. Sacepe, C. Chapelier, T. I. Baturina, V. M. Vinokur, M. R. Baklanov
  and M. Sanquer",2009-11-13
0802.4288,The 2dF-SDSS LRG and QSO survey: evolution of the clustering of luminous   red galaxies since z = 0.6,"We present an analysis of the small-to-intermediate scale clustering of samples of Luminous Red Galaxies (LRGs) from the Sloan Digital Sky Survey and the 2dF-SDSS LRG and QSO (2SLAQ) survey carefully matched to have the same rest-frame colours and luminosity. We study the spatial two-point auto-correlation function in both redshift-space and real-space of a combined sample of over 10,000 LRGs, which represent the most massive galaxies in the universe with stellar masses > 10^11 h^-1 M_sun and space densities 10^-4 h^-3 Mpc^-3. We find no significant evolution in the amplitude r_0 of the correlation function with redshift, but do see a slight decrease in the slope with increasing redshift over 0.19 < z < 0.55 and scales of 0.32 < r < 32 h^-1 Mpc. We compare our measurements with the predicted evolution of dark matter clustering and use the halo model to interpret our results. We find that our clustering measurements are inconsistent (>99.9% significance) with a passive model whereby the LRGs do not merge with one another; a model with a merger rate of 7.5 +/- 2.3% from z = 0.55 to z = 0.19 (i.e. an average rate of 2.4% Gyr^-1) provides a better fit to our observations. Our clustering and number density measurements are consistent with the hypothesis that the merged LRGs were originally central galaxies in different haloes which, following the merger of these haloes, merged to create a single Brightest Cluster Galaxy. In addition, we show that the small-scale clustering signal constrains the scatter in halo merger histories. When combined with measurements of the luminosity function, our results suggest that this scatter is sub-Poisson. While this is a generic prediction of hierarchical models, it has not been tested before.",astro-ph,"David A. Wake, Ravi K. Sheth, Robert C. Nichol, Carlton M. Baugh, Joss
  Bland-Hawthorn, Russell Cannon, Matthew Colless, Warrick J. Couch, Scott M.
  Croom, Roberto De Propris, Michael J. Drinkwater, Alastair C. Edge, Jon
  Loveday, Tsz Yan Lam, Kevin A. Pimbblet, Isaac G. Roseboom, Nicholas P. Ross,
  Donald P. Schneider, Tom Shanks, Robert G. Sharp",2009-11-13
0709.0157,The effect of partonic wind on charm quark correlations in high-energy   nuclear collisions,"In high-energy collisions, massive heavy quarks are produced back-to-back initially and they are sensitive to early dynamical conditions. The strong collective partonic wind from the fast expanding quark-gluon plasma created in high-energy nuclear collisions modifies the correlation pattern significantly. As a result, the angular correlation function for D$\bar{\rm D}$ pairs is suppressed at the angle $\Delta\phi=\pi$. While the hot and dense medium in collisions at RHIC ($\sqrt{s_{NN}}=200$ GeV) can only smear the initial back-to-back D$\bar {\rm D}$ correlation, a clear and strong near side D$\bar{\rm D}$ correlation is expected at LHC ($\sqrt{s_{NN}}=5500$ GeV).",nucl-th,"X.Zhu, N.Xu and P.Zhuang",2008-11-26
0803.0837,The first magnetic maps of a pre-main sequence binary star system - HD   155555,"We present the first maps of the surface magnetic fields of a pre-main sequence binary system. Spectropolarimetric observations of the young, 18 Myr, HD 155555 (V824 Ara, G5IV + K0IV) system were obtained at the Anglo-Australian Telescope in 2004 and 2007. Both datasets are analysed using a new binary Zeeman Doppler imaging (ZDI) code. This allows us to simultaneously model the contribution of each component to the observed circularly polarised spectra. Stellar brightness maps are also produced for HD 155555 and compared to previous Doppler images. Our radial magnetic maps reveal a complex surface magnetic topology with mixed polarities at all latitudes. We find rings of azimuthal field on both stars, most of which are found to be non-axisymmetric with the stellar rotational axis. We also examine the field strength and the relative fraction of magnetic energy stored in the radial and azimuthal field components at both epochs. A marked weakening of the field strength of the secondary star is observed between the 2004 and 2007 epochs. This is accompanied by an apparent shift in the location of magnetic energy from the azimuthal to radial field. We suggest that this could be indicative of a magnetic activity cycle. We use the radial magnetic maps to extrapolate the coronal field (by assuming a potential field) for each star individually - at present ignoring any possible interaction. The secondary star is found to exhibit an extreme tilt (~75 deg) of its large scale magnetic field to that of its rotation axis for both epochs. The field complexity that is apparent in the surface maps persists out to a significant fraction of the binary separation. Any interaction between the fields of the two stars is therefore likely to be complex also. Modelling this would require a full binary field extrapolation.",astro-ph,"N. J. Dunstone, G. A. J. Hussain, A. Collier Cameron, S. C. Marsden,
  M. Jardine, H. C. Stempels, J. C. Ramirez Vlex, J.-F. Donati",2009-11-13
0807.1642,Fringe Tracker for the VLTI Spectro-Imager,"The implementation of the simultaneous combination of several telescopes (from four to eight) available at Very Large Telescope Interferometer (VLTI) will allow the new generation interferometric instrumentation to achieve interferometric image synthesis with unprecedented resolution and efficiency. The VLTI Spectro Imager (VSI) is the proposed second-generation near-infrared multi-beam instrument for the Very Large Telescope Interferometer, featuring three band operations (J, H and K), high angular resolutions (down to 1.1 milliarcsecond) and high spectral resolutions. VSI will be equipped with its own internal Fringe Tracker (FT), which will measure and compensate the atmospheric perturbations to the relative beam phase, and in turn will provide stable and prolonged observing conditions down to the magnitude K=13 for the scientific combiner. In its baseline configuration, VSI FT is designed to implement, from the very start, the minimum redundancy combination in a nearest neighbor scheme of six telescopes over six baselines, thus offering better options for rejection of large intensity or phase fluctuations over each beam, due to the symmetric set-up. The planar geometry solution of the FT beam combiner is devised to be easily scalable either to four or eight telescopes, in accordance to the three phase development considered for VSI. The proposed design, based on minimum redundancy combination and bulk optics solution, is described in terms of opto-mechanical concept, performance and key operational aspects.",astro-ph,"L. Corcione, D. Bonino, D. F. Busher, M. Gai, S. Ligori, D. Loreggia,
  G. Masssone and J. S. Young",2009-11-13
0812.2498,Pullback of varieties by finite maps,"We study the local geometry of the pullback of a variety via a finite holomorphic map. In particular, we are looking for properties of $V = F^{-1}(W)$ such that if $V$ has the property $A$, then $W$ must have the property $A$. We show that $A$ can be the property of normality or prefactoriality. We also show that $A$ can be the property of smoothness, under extra assumptions.",math.CV math.AG,Jiri Lebl,2008-12-16
0712.2058,A Not-so-Characteristic Equation: the Art of Linear Algebra,"Can the cross product be generalized? Why are the trace and determinant so important in matrix theory? What do all the coefficients of the characteristic polynomial represent? This paper describes a technique for `doodling' equations from linear algebra that offers elegant solutions to all these questions. The doodles, known as trace diagrams, are graphs labeled by matrices which have a correspondence to multilinear functions. This correspondence permits computations in linear algebra to be performed using diagrams. The result is an elegant theory from which standard constructions of linear algebra such as the determinant, the trace, the adjugate matrix, Cramer's rule, and the characteristic polynomial arise naturally. Using the diagrams, it is easy to see how little structure gives rise to these various results, as they all can be `traced' back to the definition of the determinant and inner product.",math.HO math.RA,Elisha Peterson,2007-12-14
0809.1005,Confinement and Non-perturbative Tachyons in Brane-Antibrane Systems,"We present a worldvolume effective action suitable for the study of the confined phase of a Dp-anti-Dp system at weak coupling. We identify the mechanism by which the fundamental string arises from this action as a confined electric flux string when the Dp and the anti-Dp annihilate. We construct an explicit dual action, more suitable for the study of the strong coupling regime, and show that it realizes a generalized Higgs-Stueckelberg phase for the (relative) (p-2)-form field dual to the (overall) BI vector. This is the mechanism put forward by Yi and collaborators based on duality arguments in order to explain the breaking of the overall U(1) gauge group at strong coupling. Indeed, in our dual description the Goldstone boson is a (p-3)-form magnetically charged with respect to the overall BI vector field. This indicates that the condensing tachyonic objects originate from open D(p-2)-branes stretched between the brane and the anti-brane. Our results provide an explicit realization of the breaking of the overall U(1) gauge group perturbatively, in a way consistent with the duality symmetries of String Theory.",hep-th,"Norberto Gutierrez, Yolanda Lozano",2009-03-12
0805.4150,L^2-Invariants of Finite Aspherical CW-Complexes,Let $X$ be a finite aspherical CW-complex whose fundamental group $\pi_1(X)$ possesses a subnormal series $\pi_1(X) \rhd G_m \rhd ... \rhd G_0$ with a non-trivial elementary amenable group $G_0$. We investigate the $L^2$-invariants of the universal covering of such a CW-complex $X$. We show that the Novikov-Shubin invariants $\alpha_n({\tilde X})$ are positive. We further prove that the $L^2$-torsion $\rho^{(2)}({\tilde X})$ vanishes if $\pi_1(X)$ has semi-integral determinant.,math.GT,Christian Wegner,2008-05-28
0802.3859,A homotopical algebra of graphs related to zeta series,"The purpose of this paper is to develop a homotopical algebra for graphs, relevant to zeta series and spectra of finite graphs. More precisely, we define a Quillen model structure in a category of graphs (directed and possibly infinite, with loops and multiple arcs allowed). The weak equivalences for this model structure are the Acyclics (graph morphisms which preserve cycles). The cofibrations and fibrations for the model are determined from the class of Whiskerings (graph morphisms produced by grafting trees). Our model structure seems to fit well with the importance of acyclic directed graphs in many applications.   In addition to the weak factorization systems which form this model structure, we also describe two Freyd-Kelly factorization systems based on Folding, Injecting, and Covering graph morphisms.",math.CO math.AT,"Terrence Bisson (Canisius College), Aristide Tsemo (College Boreal)",2008-02-27
0710.1598,Classification of the Weyl Tensor in Higher Dimensions and Applications,"We review the theory of alignment in Lorentzian geometry and apply it to the algebraic classification of the Weyl tensor in higher dimensions. This classification reduces to the the well-known Petrov classification of the Weyl tensor in four dimensions. We discuss the algebraic classification of a number of known higher dimensional spacetimes. There are many applications of the Weyl classification scheme, especially in conjunction with the higher dimensional frame formalism that has been developed in order to generalize the four dimensional Newman--Penrose formalism. For example, we discuss higher dimensional generalizations of the Goldberg-Sachs theorem and the Peeling theorem. We also discuss the higher dimensional Lorentzian spacetimes with vanishing scalar curvature invariants and constant scalar curvature invariants, which are of interest since they are solutions of supergravity theory.",gr-qc hep-th,A. Coley,2008-11-26
